text,label
Approve the request as soon as possible.,action_required
It could be useful to review your data.,optional_action
It could be useful to review your data.,optional_action
Your profile has been updated.,informational
Your session has expired.,informational
The report is ready to view.,informational
It could be useful to review your data.,optional_action
You must update your profile today.,action_required
You might want to enable notifications.,optional_action
The update was successful.,informational
Pay the invoice within 24 hours.,action_required
You can optionally complete your profile.,optional_action
The report is ready to view.,informational
We have processed your payment.,informational
Confirm your email address by Friday.,action_required
Reset your password as soon as possible.,action_required
Schedule your appointment within 24 hours.,action_required
Your request has been received.,informational
Complete the verification process as soon as possible.,action_required
Consider updating your profile.,optional_action
You could update your contact information.,optional_action
Schedule your appointment by Friday.,action_required
You may want to review your settings.,optional_action
Complete the verification process before the deadline.,action_required
We have processed your payment.,informational
Your profile has been updated.,informational
Consider updating your profile.,optional_action
Your profile has been updated.,informational
Your order has been shipped.,informational
It could be useful to review your data.,optional_action
Respond to this message by tomorrow.,action_required
Your order has been shipped.,informational
Schedule your appointment as soon as possible.,action_required
Your order has been shipped.,informational
Please submit the form by by tomorrow.,action_required
Your account is active.,informational
Approve the request by Friday.,action_required
Your session has expired.,informational
Upload the required documents today.,action_required
The report is ready to view.,informational
You must update your profile before the deadline.,action_required
It could be useful to review your data.,optional_action
Consider updating your profile.,optional_action
You could update your contact information.,optional_action
The system will undergo maintenance tonight.,informational
It could be useful to review your data.,optional_action
Feel free to explore additional features.,optional_action
Your profile has been updated.,informational
Feel free to explore additional features.,optional_action
Please submit the form by by Friday.,action_required
You must update your profile before the deadline.,action_required
You could update your contact information.,optional_action
You could take a look at your account details.,optional_action
Confirm your email address by tomorrow.,action_required
We have processed your payment.,informational
It might be helpful to check your preferences.,optional_action
Confirm your email address before the deadline.,action_required
The system will undergo maintenance tonight.,informational
You must update your profile as soon as possible.,action_required
Your order has been shipped.,informational
The system will undergo maintenance tonight.,informational
Please submit the form by today.,action_required
Consider updating your profile.,optional_action
You can optionally complete your profile.,optional_action
Please submit the form by by tomorrow.,action_required
Your order has been shipped.,informational
Upload the required documents by Friday.,action_required
You can optionally complete your profile.,optional_action
You could update your contact information.,optional_action
Confirm your email address today.,action_required
Your order has been shipped.,informational
You may consider changing your password.,optional_action
You might want to enable notifications.,optional_action
You may want to review your settings.,optional_action
Reset your password within 24 hours.,action_required
Your account is active.,informational
Your request has been received.,informational
Upload the required documents before the deadline.,action_required
You can optionally complete your profile.,optional_action
Consider updating your profile.,optional_action
You may consider changing your password.,optional_action
Your order has been shipped.,informational
The system will undergo maintenance tonight.,informational
You may consider changing your password.,optional_action
Respond to this message by Friday.,action_required
Please submit the form by today.,action_required
You can optionally complete your profile.,optional_action
Confirm your email address today.,action_required
Reset your password by Friday.,action_required
Approve the request before the deadline.,action_required
Upload the required documents today.,action_required
We have processed your payment.,informational
You could take a look at your account details.,optional_action
Your profile has been updated.,informational
Upload the required documents within 24 hours.,action_required
Your session has expired.,informational
The update was successful.,informational
Your subscription has been renewed.,informational
Your subscription has been renewed.,informational
Your session has expired.,informational
Your account is active.,informational
You may want to review your settings.,optional_action
Confirm your email address as soon as possible.,action_required
We have processed your payment.,informational
You could update your contact information.,optional_action
Complete the verification process within 24 hours.,action_required
Your subscription has been renewed.,informational
Consider updating your profile.,optional_action
You must update your profile today.,action_required
The report is ready to view.,informational
You could update your contact information.,optional_action
Pay the invoice before the deadline.,action_required
Respond to this message by Friday.,action_required
You could update your contact information.,optional_action
You must update your profile today.,action_required
You could take a look at your account details.,optional_action
The report is ready to view.,informational
Respond to this message before the deadline.,action_required
Upload the required documents by Friday.,action_required
You may want to review your settings.,optional_action
Your account is active.,informational
Your account is active.,informational
We have processed your payment.,informational
Complete the verification process before the deadline.,action_required
You could update your contact information.,optional_action
Your session has expired.,informational
Reset your password by Friday.,action_required
You may want to review your settings.,optional_action
Complete the verification process today.,action_required
Your request has been received.,informational
Consider updating your profile.,optional_action
Your request has been received.,informational
Schedule your appointment as soon as possible.,action_required
You could update your contact information.,optional_action
We have processed your payment.,informational
Confirm your email address by Friday.,action_required
It could be useful to review your data.,optional_action
You may want to review your settings.,optional_action
The system will undergo maintenance tonight.,informational
You could update your contact information.,optional_action
Your session has expired.,informational
Feel free to explore additional features.,optional_action
Consider updating your profile.,optional_action
We have processed your payment.,informational
You must update your profile by tomorrow.,action_required
Feel free to explore additional features.,optional_action
Complete the verification process today.,action_required
Your request has been received.,informational
Please submit the form by by tomorrow.,action_required
