text,label
"Please submit the completed form before Friday at 5 PM.",action_required
"Your password will expire soon. Change it to keep access to your account.",action_required
"Upload a copy of your ID to continue the verification process.",action_required
"The payment failed. Update your billing details to avoid service interruption.",action_required
"Confirm your attendance by replying to this message.",action_required
"Sign the attached document and return it by the end of the week.",action_required
"Your application is missing one required document.",action_required
"Complete the onboarding checklist before your first day.",action_required
"To activate your account, click the confirmation link in the email.",action_required
"Please review and approve the request in the dashboard.",action_required
"Failure to respond within 48 hours may result in cancellation.",action_required
"You need to reset your password before logging in again.",action_required
"Book a time slot for your appointment using the link below.",action_required
"Provide your bank details so we can process the payment.",action_required
"Please correct the highlighted fields before submitting the form.",action_required
"Your session has expired. Log in again to continue.",action_required
"Accept the updated terms to keep using the service.",action_required
"Send us the missing invoice number to complete the request.",action_required
"Please choose a delivery option before checkout.",action_required
"The deadline has been moved to Monday, so make sure to submit your work then.",action_required
"You can update your notification preferences in settings.",optional_action
"You may want to review the attached guidelines before the meeting.",optional_action
"Feel free to add more details to your profile.",optional_action
"If you are interested, you can join the optional Q&A session tomorrow.",optional_action
"You might consider enabling two-factor authentication for extra security.",optional_action
"Participants are welcome to submit additional comments after the workshop.",optional_action
"You can download the report for your own records.",optional_action
"It may be helpful to check the examples before starting the task.",optional_action
"You are invited to complete a short feedback survey.",optional_action
"If needed, you can reschedule your appointment online.",optional_action
"Users may customize the dashboard layout at any time.",optional_action
"You can save this message for future reference.",optional_action
"Students are encouraged to read the supplementary material.",optional_action
"You may attach supporting files if they are relevant.",optional_action
"Consider reviewing your answers before final submission.",optional_action
"You can choose to receive updates by email.",optional_action
"If you prefer, you may print the document instead of reading it online.",optional_action
"You are welcome to contact support with any questions.",optional_action
"The new feature can be enabled from the experimental settings menu.",optional_action
"You may want to prepare a few questions for the discussion.",optional_action
"Your order has been shipped and is on its way.",informational
"The meeting has been moved to room 204.",informational
"Your application has been received successfully.",informational
"The system will be unavailable on Saturday due to maintenance.",informational
"Your subscription renews automatically next month.",informational
"The file was uploaded successfully.",informational
"A new version of the app is now available.",informational
"Your request is currently being processed.",informational
"The office will be closed during the public holiday.",informational
"Your payment was completed successfully.",informational
"The document is available in your account.",informational
"The event starts at 10 AM and ends at 2 PM.",informational
"Your profile was last updated yesterday.",informational
"The course material has been published on the platform.",informational
"This message confirms that your booking is active.",informational
"The report includes data from January to March.",informational
"Your package arrived at the local distribution center.",informational
"The new policy applies from next semester.",informational
"The ticket status has changed to resolved.",informational
"This email is for your information only and does not require a response.",informational
